1;1289;61
2;1297;99
3;1300;130
4;1280;61
5;1287;96
6;1290;129
7;1266;25
8;1274;49
9;1283;48
10;1301;156
11;1313;155
12;1333;203
13;1342;202
14;1345;226
15;1355;225
16;1351;254
17;1361;254
18;1346;282
19;1356;283
20;1329;311
21;1339;311
22;1303;337
23;1312;339
24;1272;364
25;1282;366
26;1249;393
27;1259;393
28;1237;423
29;1247;424
30;1237;450
31;1247;450
32;1245;483
33;1256;483
34;1245;520
35;1254;520
36;1231;550
37;1240;550
38;1198;584
39;1207;586
40;1149;616
41;1157;618
42;1049;669
43;1056;672
44;1014;683
45;1020;686
46;961;700
47;968;703
48;885;729
49;892;731
50;832;763
51;801;794
52;796;804
53;1081;654
54;971;856
55;1028;856
56;1039;856
57;1119;844
58;1130;844
59;1138;844
60;1246;857
61;1255;859
62;955;619
63;956;629
64;960;634
65;969;639
66;987;648
67;990;653
68;992;687
69;991;699
70;993;719
71;994;728
72;1000;732
73;1003;736
74;1009;753
75;1027;764
76;778;609
77;792;615
78;811;619
79;828;620
80;880;621
81;927;616
82;939;616
83;982;782
84;956;803
85;964;813
86;959;819
87;928;881
88;804;927
89;1317;849
90;1205;811
91;1202;816
92;1202;820
93;1202;823
94;1198;825
95;1195;827
96;1186;830
97;1180;831
98;1172;830
99;1168;831
100;1152;836
101;1143;839
102;1134;841
103;1267;39
104;550;664
105;581;665
106;610;665
107;626;664
108;641;660
109;653;655
110;663;653
111;699;651
112;735;648
113;759;648
114;787;650
115;815;652
116;842;651
117;887;648
118;941;644
119;1043;766
120;1066;778
121;1089;789
122;1101;790
123;1124;793
124;1132;796
125;1145;802
126;1164;807
127;1190;809
128;1246;806
129;1261;806
130;1291;809
131;1309;809
132;1335;810
133;819;790
134;948;618
135;1129;641
136;847;800
137;860;621
138;914;828
139;1224;648
140;882;813
141;1206;646
142;1025;632
143;898;812
144;991;627
145;810;781
146;1238;651
147;894;813
148;829;792
149;1099;638
150;1062;636
151;906;819
152;866;807
153;901;814
154;1179;643
155;874;811
156;956;642
157;729;692
158;920;706
159;798;651
160;871;690
161;794;693
162;776;693
163;633;693
164;886;692
165;617;694
166;835;691
167;731;649
168;819;691
169;690;691
170;912;702
171;638;660
172;859;689
173;665;691
174;899;696
175;847;690
176;759;693
177;957;612
178;953;619
179;1257;500
180;1175;600
181;1247;501
182;982;567
183;1229;565
184;1249;536
185;1195;594
186;971;585
187;1239;535
188;1184;602
189;987;558
190;984;561
191;1219;564
192;1291;559
193;804;790
194;1277;37
195;1295;79
196;1252;12
197;1284;79
198;1608;520
199;1819;627
200;1198;742
201;1759;678
202;1456;690
203;1239;689
204;1355;676
205;1432;612
206;1578;599
207;1637;650
208;1281;531
209;1541;706
210;1433;725
211;1655;710
212;1216;735
213;1774;656
214;1666;660
215;1193;673
216;1609;518
217;1327;660
218;1301;603
219;1678;714
220;1234;742
221;1314;624
222;1503;717
223;1276;684
224;1224;720
225;1609;661
226;1279;656
227;1575;710
228;1359;626
229;1501;679
230;1733;695
231;1251;645
232;1212;738
233;1404;683
234;1327;685
235;1399;613
236;1514;716
237;1576;683
